Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
250000,Nearly Sorted,Selection Sort,8.01786e+10
250000,Reversed,Bubble Sort,1.50676e+11
250000,Reversed,Heap Sort,9.23074e+07
250000,Reversed,Insertion Sort,1.1822e+06
250000,Reversed,Merge Sort,1.885e+08
250000,Reversed,Quick Sort,2.44152e+11
250000,Reversed,Selection Sort,7.98612e+10
250000,Sorted,Bubble Sort,8.72214e+10
250000,Sorted,Heap Sort,8.08618e+07
250000,Sorted,Insertion Sort,1.442e+06
250000,Sorted,Merge Sort,2.32087e+08
250000,Sorted,Quick Sort,2.44983e+11
250000,Sorted,Selection Sort,8.13744e+10
250000,Unique Entries,Bubble Sort,2.12881e+11
250000,Unique Entries,Heap Sort,8.45255e+07
250000,Unique Entries,Insertion Sort,1.4703e+06
250000,Unique Entries,Merge Sort,3.34044e+08
250000,Unique Entries,Quick Sort,2.43254e+11
250000,Unique Entries,Selection Sort,8.16299e+10
250000,Random,Bubble Sort,2.55102e+11
250000,Random,Heap Sort,9.98189e+07
250000,Random,Insertion Sort,1.5435e+06
250000,Random,Merge Sort,2.49891e+08
250000,Random,Quick Sort,2.93306e+11
250000,Random,Selection Sort,9.91901e+10
500000,Many Duplicates,Bubble Sort,9.11907e+11
500000,Many Duplicates,Heap Sort,1.85676e+08
500000,Many Duplicates,Insertion Sort,3.0983e+06
500000,Many Duplicates,Merge Sort,3.75869e+08
500000,Many Duplicates,Quick Sort,1.0143e+12
500000,Many Duplicates,Selection Sort,3.32864e+11
500000,Nearly Sorted,Bubble Sort,3.82698e+11
500000,Nearly Sorted,Heap Sort,1.21963e+07
500000,Nearly Sorted,Insertion Sort,3.1154e+06
500000,Nearly Sorted,Merge Sort,7.31804e+08
500000,Nearly Sorted,Quick Sort,1.03819e+12
500000,Nearly Sorted,Selection Sort,3.17871e+11
500000,Reversed,Bubble Sort,6.02405e+11
500000,Reversed,Heap Sort,1.75616e+08
500000,Reversed,Insertion Sort,2.8971e+06
500000,Reversed,Merge Sort,4.08331e+08
500000,Reversed,Quick Sort,9.51522e+11
500000,Reversed,Selection Sort,3.15253e+11
500000,Sorted,Bubble Sort,3.4139e+11
500000,Sorted,Heap Sort,2.07221e+08
500000,Sorted,Insertion Sort,3.1663e+06
500000,Sorted,Merge Sort,4.4413e+08
500000,Sorted,Quick Sort,8.2259e+11
500000,Sorted,Selection Sort,3.47145e+11
500000,Unique Entries,Bubble Sort,4.9086e+11
500000,Unique Entries,Heap Sort,2.32752e+08
500000,Unique Entries,Insertion Sort,3.7831e+06
500000,Unique Entries,Merge Sort,4.24528e+08
500000,Unique Entries,Quick Sort,8.13549e+11
500000,Unique Entries,Selection Sort,1.23093e+11
500000,Random,Bubble Sort,4.9086e+11
500000,Random,Heap Sort,2.32752e+08
500000,Random,Insertion Sort,3.7831e+06
500000,Random,Merge Sort,4.24528e+08
500000,Random,Quick Sort,8.13549e+11
500000,Random,Selection Sort,1.23093e+11
