Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
500000,Nearly Sorted,Insertion Sort,9.01737e+09
500000,Nearly Sorted,Merge Sort,1.15206e+08
500000,Nearly Sorted,Quick Sort,8.99385e+10
500000,Nearly Sorted,Selection Sort,1.1486e+11
500000,Reversed,Bubble Sort,8.9233e+10
500000,Reversed,Heap Sort,4.73478e+07
500000,Reversed,Insertion Sort,7.50562e+10
500000,Reversed,Merge Sort,1.06188e+08
500000,Reversed,Quick Sort,8.84016e+10
500000,Reversed,Selection Sort,1.11806e+11
500000,Sorted,Bubble Sort,7.41852e+10
500000,Sorted,Heap Sort,4.1532e+07
500000,Sorted,Insertion Sort,407200
500000,Sorted,Merge Sort,1.04442e+08
500000,Sorted,Quick Sort,9.66295e+10
500000,Sorted,Selection Sort,1.09856e+11
500000,Unique Entries,Bubble Sort,2.94538e+11
500000,Unique Entries,Heap Sort,8.7212e+07
500000,Unique Entries,Insertion Sort,3.89353e+10
500000,Unique Entries,Merge Sort,1.65441e+08
500000,Unique Entries,Quick Sort,8.94216e+10
500000,Unique Entries,Selection Sort,1.18972e+11
500000,Random,Bubble Sort,2.9314e+11
500000,Random,Heap Sort,8.50131e+07
500000,Random,Insertion Sort,3.81243e+10
500000,Random,Merge Sort,1.48646e+08
500000,Random,Quick Sort,8.89317e+10
500000,Random,Selection Sort,1.1046e+11
